"track","artist","stream_on_youtube","stream_on_spotify"
"Easy (with Kacey Musgraves feat. Mark Ronson)","Troye Sivan","0","82820643"
"Naan Pizhai (From ""Kaathuvaakula Rendu Kaadhal"")","Shashaa Tirupati","0","38112424"
"Dumebi","Rema","0","81827572"
"Bemaste","Tiago PZK","0","8838217"
"Unknown Song","Milky Chance","0","13579961"
"Psycho, Pt. 2","Russ","0","415059824"
"Distraction","Kehlani","0","126336946"
"Nota","Nicki Nicole","0","49801925"
"God Is A Dancer (with Mabel)","Mabel","0","189248314"
"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","Ariana Grande","0","1025392875"
"The Race - Remix","Young Nudy","0","136172862"
"Good Vibe","Dallass","0","32681419"
"Dünner Kanack (feat. Ufo361)","Haftbefehl","0","1893294"
"Loving You Easy","Zac Brown Band","0","115079809"
"Te Mentiría","La K'onga","0","71370430"
"Idiota","Morat","0","131251688"
"Bruh","DJ Drama","0","1675365"
"You Belong To Somebody Else","Jacquees","0","60604032"
"Mon Fre - feat. Emis Killa","Emis Killa","0","62759485"
"I Do","Aloe Blacc","0","23680851"
"U","Mikky Ekko","0","5742329"
"Conexión","Jay Wheeler","0","78095584"
"Míranos Ahora","Calibre 50","0","57550084"
"About Damn Time","Lizzo","0","571894128"
"I Wish (feat. Mabel)","Joel Corry","0","90350958"
"Mary On A Cross","Ghost","0","253675311"
"Romeo","Bas","0","18297954"
"Clara (the night is dark)","Fred again..","0","10897602"
"Lo Que en Ti Veo","Kany García","0","28471176"
"Come Alive","Zendaya","0","265866616"
"Lost In The Wild","WALK THE MOON","0","87626355"
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster","The Smiths","0","155920879"
"Matilda","alt-J","0","109352257"
"Fuck Love (feat. Trippie Redd)","XXXTENTACION","0","1289647867"
"Liability","Lorde","0","349019012"
"Everywhere I Go","Hollywood Undead","0","177128965"
"Blue Lights","Jorja Smith","0","192297113"
"Last Time That I Checc'd (feat. YG)","Nipsey Hussle","0","88823715"
"Shotgun Blues","Volbeat","0","33543230"
"Know Your Worth","Disclosure","0","375510368"
"Take Me Up","Lecrae","0","1058386"
"No Soy una Señora (Non Sono una Signora)","María José","0","35587734"
"Legends Never Die - (Remix)","League of Legends","0","121204699"
"Rain and Thunderstorm, Pt. 2","Rain Fruits Sounds","0","17008272"
"Let It Go - James Bay Spotify Session 2015","James Bay","0","138077387"
"Kernkraft 400 (A Better Day)","Topic","0","75960116"
"Something’s Coming","Lady A","0","478810"
"Letania","J Alvarez","0","2054339"
"Mr. Clean","Yung Gravy","0","229411964"
"Be Honest (feat. Burna Boy)","Jorja Smith","0","255081153"
"10%","KAYTRANADA","0","93637411"
"She Make It Clap","Soulja Boy","0","74103593"
"s!r! (feat. Lazza & Sfera Ebbasta)","Lazza","0","74919495"
"Lost Boy","Ruth B.","0","739606597"
